marque,prix_neuf,modele,annee,gamme,poids,fiche_technique,photo_url,annonce_url
Scott,999,Aspect 910,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900 series / Alloy 6061 Custom Butted Tubing# Boost QR 5x141mm / Tapered Headtube / BB92# Internal Cable
Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : RockShox Judy Silver TK# Solo Air / Alloy steerer#PopLoc Lockout / Reb.
Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-
on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano MT200 / Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : /Dérailleur AR : SRAM SX Eagle#12 SpeedCommandes : SRAM SX Eagle TriggerPédalier : SRAM X1000 Eagle DUB#30TTailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_910__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-910
Scott,999,Aspect 910,2020,XC Hardtail,"13,30","Garantie : /Cadre : Aspect 900 series / Alloy 6061 Custom Butted Tubing#Boost QR 5x141mm / Tapered HT / BB92#Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : RockShox 30 Silver TK#Solo Air / Alloy steerer#PopLoc Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 13.30Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 180F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : /Dérailleur AR : SRAM SX Eagle#12 SpeedCommandes : SRAM SX Eagle TriggerPédalier : SRAM X1000 Eagle DUB#30TTailles dispo. : XS, S, M, L, XL, XXLTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_910__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-910
Scott,999,Aspect 920,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900 series / Alloy 6061 Custom Butted Tubing# Boost QR 5x141mm / Tapered Headtube / BB92# Internal Cable
Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCR32-RL-R#Air / Alloy Steerer#Remote Lockout / Reb.
Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-
on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano MT200 / Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano Deore FD-M5100 Side Swing /
31.8mmDérailleur AR : Shimano XT RD-M8000 SGS#Shadow Type
/ 20 SpeedCommandes : Shimano Deore SL-M5100#R-plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-M5100-B2#2-piece Design /
36X26Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_920__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-920
Scott,899,Aspect 920,2020,XC Hardtail,0,"Garantie : /Cadre : Aspect 900 series / Alloy 6061 Custom Butted Tubing#Boost QR 5x141mm / Tapered HT / BB92#Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : RockShox XC30 TK / Coil / PopLoc Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 180F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano Deore FD-M6020 Side Swing / 31.8mmDérailleur AR : Shimano Deore RD-M6000 SGS#Shadow Type / 20 SpeedCommandes : Shimano Deore SL-M6000#R-plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT500-B2#2-piece Design / 36X26Tailles dispo. : XS, S, M, L, XL, XXLTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_920__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-920
Scott,799,Aspect 930,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCR32-RL-R#Remote Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-
on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano MT200 / Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M4100 Side Swing / 31.8mmDérailleur AR : Shimano Deore RD-M4120#20 SpeedCommandes : Shimano SL-M4100#R-fire plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-M4100-2#2-piece Design /
36X26Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_930_pearl_white__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-930
Scott,799,Aspect 930,2020,XC Hardtail,"13,95","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : RockShox XC30 TK / Coil / PopLoc Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 13.95Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Comfort Lock-on GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 180F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Deore RD-M592#18 SpeedCommandes : Shimano SL-M3000-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT210#2-piece Design / 36X22Tailles dispo. : XS, S, M, L, XL, XXLTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_930_dk_green_yellow__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-930
Scott,699,Aspect 940,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCR32-LO-R / Hyd. Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Pro GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano MT200 / Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M3120 Side Swing / 31.8mmDérailleur AR : Shimano Deore RD-M3100#18 SpeedCommandes : Shimano SL-M3100#R-fire plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-MT2102#2-piece Design /
36X22Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_940_orange__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-940
Scott,699,Aspect 940,2020,XC Hardtail,"14,15","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCR32-RL-R#Remote Lockout / Reb. Adj.#100mm travelDébattement AV : /Poids constructeur : 14.15Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BSSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Shimano BR-MT200 / Hydr. Disc#SM-RT10 CL rotor / 160F/160RMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Deore RD-M592#18 SpeedCommandes : Shimano SL-M2010-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT210#2-piece Design / 36X22Tailles dispo. : XS, S, M, L, XL, XXLTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_940_dk_grey_red__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-940
Scott,599,Aspect 950,2021,XC Hardtail,0,"Garantie : Cadre : Aspect 900-700 series / Alloy 6061 Custom Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : 0.00Amortisseur : /Débattement AR. : /Fourche : Suntour XCT30-HLO#Hyd. Lockout / 100mm travelDébattement AV : /Poids constructeur : 0.00Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BS#Syncros Pro GripSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Tektro HDM275 Hydr. DiscMoyeux : /Jantes : Syncros X-20 Disc#32H / blackCassette : /Pneus d’origine : /Dérailleur AV : Shimano FD-M2020-TS / 31.8mmDérailleur AR : Shimano Altus RD-M2000#18 SpeedCommandes : Shimano SL-M2010#R-fire plus / 2 way
release#w/gear indicatorPédalier : Shimano FC-MT2102#2-piece Design / 36X22Tailles dispo. : /Taille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2021/scott_2021_aspect_950_slate_grey__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2021-scott-aspect-950
Scott,599,Aspect 950,2020,XC Hardtail,"14,60","Garantie : /Cadre : Aspect 900-700 series / Alloy 6061 Custom Butted Tubing#BSA73 / Internal Cable Routing / replaceable hangerPoids cadre : NCAmortisseur : /Débattement AR. : /Fourche : Suntour XCT30-HLO#Hyd. Lockout / 100mm travelDébattement AV : /Poids constructeur : 14.60Potence : Syncros 3.0 / 7° / BlackGuidon : Syncros 3.0 / 720mm#black / 31.8mm / 12mm rise / 9° BSSelle : Syncros 3.0Tige de selle : Syncros 3.0#31.6mm / 350mm / BlackFreins : Tektro HDM275 / Hydr. Disc#160F/160R rotorMoyeux : /Jantes : /Cassette : /Pneus d’origine : Kenda Booster#2.4"" / 30TPIDérailleur AV : Shimano FD-M2000 / 31.8mmDérailleur AR : Shimano Altus RD-M2000#27 SpeedCommandes : Shimano SL-M2000-9R#R-fire plus / 2 way release#w/gear indicatorPédalier : Shimano FC-MT101#40x30x22Tailles dispo. : XS, S, M, L, XL, XXLTaille de référence : /Empattement (en mm) : /Longueur des bases (en mm) : /Hauteur boîtier (en mm) : /Angle tube direction (en °) : /Angle tube de selle (en °) : /Tube supérieur (en mm) : /Longueur tube direction (en mm) : /",https://www.bigbike-magazine.com/media/guide_matos/vtt_2020/scott_2020_aspect_950_dk_blue_green__prop_300x115.jpg,https://www.bigbike-magazine.com/vtt-2020-scott-aspect-950
